model,roc_auc,pr_auc,precision,recall,f1,feature_count,roc_auc_change,pr_auc_change,within_roc_tolerance,within_pr_tolerance,within_tolerance
full,0.7744547126500169,0.2699728252852158,0.1819066147859922,0.6779456193353475,0.28684647833312027,76,0.0,0.0,True,True,True
top_60,0.775661538513056,0.2690365623335255,0.18196535535049377,0.679154078549849,0.2870275791624106,60,0.001206825863039107,-0.0009362629516903032,True,True,True
top_50,0.7743434951305999,0.27022987739611715,0.18203347865870068,0.6811681772406848,0.2872918790349983,50,-0.0001112175194170062,0.0002570521109013235,True,True,True
top_40,0.7711192148142876,0.2656208373282269,0.17933017411213462,0.6783484390735146,0.2836688284342626,40,-0.003335497835729284,-0.004351987956988934,True,True,True
