threshold,precision,recall,f1_score
0.05,0.08091063164070139,1.0,0.1497082723997045
0.06,0.08104225168157775,0.9997985901309164,0.14993128652762885
0.07,0.08124079227369455,0.9995971802618329,0.15026871546438575
0.08,0.081508615733364,0.9993957703927493,0.15072446158986666
0.09,0.08183063039282003,0.998992950654582,0.15127024306932202
0.1,0.08229844600876611,0.9983887210473313,0.15206221145144716
0.11,0.08268954215578074,0.9959718026183283,0.15270122130097116
0.12,0.08330521627640192,0.9945619335347432,0.15373359692408275
0.13,0.08408664506225481,0.9929506545820745,0.155043635505936
0.14,0.0847761605849486,0.9901309164149044,0.15618000730703857
0.15,0.08565737051792828,0.9873111782477342,0.1576383194250157
0.16,0.08669311981860696,0.9856998992950654,0.15936955566048489
0.17,0.08782022471910113,0.9838872104733132,0.16124773064862188
0.18,0.08884791617225579,0.9802618328298086,0.16292849491162292
0.19,0.09006332287237005,0.9768378650553877,0.16492110990206746
0.2,0.09136278568592979,0.9734138972809667,0.1670468685192866
0.21,0.0926878117357059,0.969385699899295,0.16919777824650215
0.22,0.09414723275506395,0.9651560926485397,0.17155950164685665
0.23,0.09576582545323134,0.9607250755287009,0.17417022674991783
0.24,0.09729663156598313,0.9546827794561934,0.17659550687381245
0.25,0.09889925216368373,0.9482376636455186,0.17911697007742206
0.26,0.10065857438016529,0.9419939577039275,0.18188181765151956
0.27,0.1023413730764143,0.934944612286002,0.18448820618802536
0.28,0.1042072369910783,0.9268882175226586,0.18735115109817413
0.29,0.10592767952467158,0.9192346424974823,0.1899648290358161
0.3,0.10803900014338289,0.9105740181268882,0.19315972741449658
0.31,0.10991225698626096,0.9007049345417926,0.195916936826426
0.32,0.11231691583820293,0.8942598187311178,0.19956850053937433
0.33,0.11451713720179185,0.8855991943605237,0.2028089758077535
0.34,0.11672712615880693,0.8749244712990937,0.20597439544807966
0.35,0.11931613511042145,0.8672708962739174,0.2097724947629951
0.36,0.12187231606069282,0.8574018126888218,0.21341020177967163
0.37,0.12423131504257331,0.8463242698892246,0.21665936219031168
0.38,0.12669724770642202,0.834441087613293,0.21999203504579848
0.39,0.12964486927897703,0.8249748237663646,0.22407615087940042
0.4,0.13210269189153742,0.8114803625377643,0.22721633205504174
0.41,0.1349549243068549,0.7989929506545821,0.2309080325960419
0.42,0.13744409620734585,0.7861027190332326,0.2339787782507044
0.43,0.13991889818434222,0.771399798590131,0.23687302863504237
0.44,0.14258093866100538,0.7575025176233635,0.23998979038381776
0.45,0.14521957734307486,0.7446122860020141,0.2430398054103803
0.46,0.1480621102824306,0.7317220543806646,0.24628838722798455
0.47,0.1514714612840302,0.7194360523665659,0.25025396714190634
0.48,0.15516023660280745,0.7079556898288016,0.2545349216119338
0.49,0.15764294585767516,0.6902316213494462,0.2566656680647094
0.5,0.16123762851926587,0.6759315206445116,0.26036696535940107
0.51,0.16569563033651433,0.6644511581067473,0.2652462311557789
0.52,0.16975081484596782,0.6503524672708962,0.26922916579814066
0.53,0.17369959733024437,0.6342396777442094,0.27271152680349875
0.54,0.17698756866146284,0.6165156092648539,0.27502246181491463
0.55,0.1808941859761631,0.6022155085599195,0.278217176886573
0.56,0.18396946564885497,0.5824773413897281,0.2796229151559101
0.57,0.18826684545759304,0.565558912386707,0.2824949698189135
0.58,0.19172374832285854,0.5468277945619335,0.28390672383143367
0.59,0.1964179104477612,0.530110775427996,0.28663218077865504
0.6,0.1994337842088707,0.5107754279959718,0.2868616028505175
0.61,0.204664287492738,0.49667673716012084,0.28987892323968495
