model,roc_auc,pr_auc,precision,recall,f1_score
XGBoost,0.7573019894434553,0.2486461377227556,0.1671828171828172,0.6741188318227593,0.2679207524514709
Logistic Regression,0.7488701963658946,0.2282793378043335,0.16123762851926587,0.6759315206445116,0.26036696535940107
